CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,11,-,-,-,"1,237.20",-,900,944.65,"1,264.25","1,725","23,700.00",75,178.05,220.45,"1,800",47.95,195.00,13.66,169,116,701,
,11,-,-,-,"1,134.55",-,"1,800",918.60,"1,222.75","1,725","23,750.00",900,175.25,235.60,"1,800",26.65,209.15,13.73,57,31,50,
,12,1,1,9.28,"1,155.00",-45.75,"1,800",827.15,"1,189.85",900,"23,800.00",75,194.65,230.30,75,53.55,221.30,13.74,269,64,"2,729",
,14,-,-,-,"1,087.95",-,"1,800",810.60,"1,149.60","1,725","23,850.00",75,222.00,256.85,"2,700",-,220.35,-,-,-,16,
,13,-,-,-,"1,040.55",-,900,837.20,"1,105.05",900,"23,900.00",75,223.35,260.20,150,58.20,241.00,13.57,191,66,820,
,12,-,-,-,"1,086.10",-,-,-,"1,085.10","1,725","23,950.00",900,225.85,284.05,900,28.80,257.60,13.65,5,2,18,
,417,53,180,7.50,943.00,-168.10,225,943.00,945.00,75,"24,000.00",75,266.75,278.95,300,67.20,275.55,13.75,"1,350",55,"1,517",
,27,-,-,-,980.20,-,"1,800",671.60,"1,031.35","1,725","24,050.00",525,257.60,319.15,"1,800",-27.10,256.10,12.86,2,-2,18,
,26,-,-,-,"1,032.15",-,900,648.00,994.50,"1,725","24,100.00",150,271.70,321.70,300,76.25,299.15,13.59,7,-,80,
,20,-,-,-,895.50,-,900,616.85,952.65,900,"24,150.00",900,283.65,345.55,900,1.95,314.50,13.57,5,1,16,
,54,3,22,8.27,809.00,9.10,"1,800",589.25,856.80,75,"24,200.00",300,315.00,350.90,75,74.30,327.90,13.50,39,11,98,
,14,-,-,-,849.25,-,"1,800",595.10,869.15,"1,725","24,250.00","1,800",295.90,376.35,900,66.60,328.60,13.11,12,1,24,
,41,2,4,8.61,749.00,-154.00,75,730.55,747.60,150,"24,300.00",150,349.95,370.90,300,86.45,364.60,13.56,73,-12,135,
,21,1,2,9.54,751.00,-107.45,-,-,810.80,900,"24,350.00","1,725",250.30,416.15,900,18.95,384.05,13.59,15,11,24,
,208,24,64,8.77,686.85,-151.80,75,669.25,686.85,75,"24,400.00",75,399.20,420.55,75,89.65,402.60,13.59,66,17,68,
,60,18,43,8.75,653.45,-138.85,750,628.75,685.00,75,"24,450.00",900,386.85,449.10,"1,800",12.10,382.10,12.67,7,6,16,
,"1,332",177,848,8.75,621.25,-147.45,75,621.05,630.95,75,"24,500.00",150,440.00,449.00,75,100.25,441.55,13.58,"1,482",166,"1,518",
,42,34,43,8.90,596.90,-33.95,900,387.60,610.00,75,"24,550.00",900,424.15,497.95,900,63.10,428.95,12.83,19,4,14,
,82,2,54,8.98,570.30,-135.40,75,559.95,580.30,375,"24,600.00",900,452.15,505.00,75,105.05,478.00,13.47,93,19,139,
,11,1,2,9.85,580.00,-103.30,"1,800",493.95,583.30,900,"24,650.00",900,428.00,548.65,"2,700",57.10,476.95,12.96,6,2,36,
,163,74,142,9.02,514.75,-124.70,75,494.10,541.70,75,"24,700.00",900,404.30,562.05,75,69.80,523.80,13.51,45,13,73,
,29,19,21,9.29,500.00,-38.65,900,60.20,648.25,75,"24,750.00",900,498.75,634.55,900,67.10,502.85,12.54,2,2,12,
,94,51,72,9.03,461.85,-127.00,75,105.30,578.75,75,"24,800.00",75,550.00,625.75,75,125.70,572.10,13.54,88,52,224,
,26,8,19,9.88,475.00,-5.70,900,50.25,568.55,75,"24,850.00",900,406.75,794.00,900,106.45,568.95,12.95,6,6,17,
,161,26,306,9.13,416.60,-116.70,150,395.95,440.00,675,"24,900.00",900,464.85,873.50,"1,125",122.30,625.25,13.64,15,9,25,
,25,-,1,9.76,421.85,-10.70,900,376.55,509.90,900,"24,950.00","1,800",439.05,866.65,900,-4.25,522.60,-,-,-,16,
,"3,406",-254,"1,467",9.17,372.00,-107.05,75,372.00,373.00,75,"25,000.00",75,678.00,691.50,75,143.65,689.35,13.91,827,-9,"1,909",
,24,1,1,9.72,375.50,-11.90,900,332.95,366.25,900,"25,050.00",900,490.80,969.35,900,-11.15,546.50,-,-,-,5,
,97,38,67,9.23,332.25,-89.75,"1,800",317.60,398.90,900,"25,100.00",900,518.65,931.55,900,-15.20,581.85,-,-,-,21,
,28,2,5,9.47,322.95,-47.15,900,281.90,390.30,75,"25,150.00","1,800",528.15,-,-,-19.40,702.10,12.40,4,4,5,
,166,-50,149,9.34,298.00,-92.30,75,275.35,297.15,75,"25,200.00",900,716.80,873.55,75,122.90,755.00,12.93,4,1,9,
,19,-,-,-,321.35,-,900,249.65,315.50,"1,800","25,250.00","1,800",611.50,-,-,-,767.20,-,-,-,2,
,176,-65,252,9.36,263.00,-85.40,75,260.00,273.90,75,"25,300.00",900,637.60,930.50,75,105.65,830.70,13.31,1,-,10,
,-,-,-,-,-,-,900,209.55,454.75,900,"25,350.00","1,725",581.75,-,-,51.65,795.05,11.81,1,1,3,
,22,13,22,9.32,228.85,-41.55,75,216.50,258.65,900,"25,400.00",900,651.10,"1,093.05",75,85.30,872.40,12.86,82,65,71,
,-,-,-,-,-,-,"1,800",189.45,780.00,75,"25,450.00",-,-,-,-,-,847.35,-,-,-,5,
,"4,902",323,"2,042",9.33,200.00,-66.15,225,200.00,201.00,75,"25,500.00",75,995.90,"1,016.90",75,162.95,"1,010.00",14.57,69,-5,"1,703",
,-,-,-,-,-,-,900,163.10,706.20,900,"25,550.00","1,725",744.85,-,-,-,904.15,-,-,-,1,
,-,-,-,-,-,-,"2,700",159.55,-,-,"25,600.00","1,725",797.60,-,-,-,948.70,-,-,-,1,
,-,-,-,-,-,-,-,-,276.40,"1,725","25,650.00","1,725",845.70,-,-,-,973.30,-,-,-,1,
,-,-,-,-,-,-,"1,800",129.30,335.75,900,"25,700.00","1,725",886.00,-,-,-,"1,001.20",-,-,-,1,
,-,-,-,-,-,-,-,-,413.35,"1,725","25,750.00","1,725",891.50,-,-,-,"1,037.80",-,-,-,1,
,-,-,-,-,-,-,900,114.00,-,-,"25,800.00","1,725",986.55,-,-,-,"1,073.85",-,-,-,1,
,-,-,-,-,-,-,-,-,349.90,75,"25,850.00","1,725","1,034.60",-,-,-,"1,111.95",-,-,-,1,
,-,-,-,-,-,-,900,98.20,431.95,900,"25,900.00",75,"1,234.10",-,-,-,"1,189.35",-,-,-,1,
,-,-,-,-,-,-,-,-,290.00,75,"25,950.00","1,725","1,128.50",-,-,-,"1,223.50",-,-,-,1,
,"4,997",697,"3,975",9.54,99.55,-36.30,750,99.00,99.85,75,"26,000.00",75,"1,374.90","1,423.35",75,190.30,"1,370.00",15.04,2,-,40,
,-,-,-,-,-,-,-,-,165.85,600,"26,050.00","1,725","1,222.60",-,-,-,"1,314.85",-,-,-,2,
,-,-,-,-,-,-,-,-,158.95,900,"26,100.00","1,725","1,180.75","1,985.80","1,725",-,"1,362.55",-,-,-,1,
,-,-,-,-,-,-,-,-,153.05,600,"26,150.00","1,725","1,208.45","2,024.90","1,725",-,"1,413.90",-,-,-,1,
,-,-,-,-,-,-,-,-,146.75,900,"26,200.00","1,725","1,269.05","2,074.05","1,725",-,"1,459.05",-,-,-,1,
,-,-,-,-,-,-,-,-,140.65,600,"26,250.00",900,"1,334.95","2,182.25","1,725",-,"1,503.30",-,-,-,1,
,-,-,-,-,-,-,-,-,134.80,900,"26,300.00",900,"1,356.65","2,194.35","1,725",-,"1,545.10",-,-,-,1,
,-,-,-,-,-,-,-,-,128.55,600,"26,350.00",900,"1,400.20","2,285.20","1,725",-,"1,588.45",-,-,-,1,
,40,40,53,9.83,56.80,-278.70,300,50.75,60.65,375,"26,400.00","1,725","1,459.10","2,325.55","1,725",-,"1,632.60",-,-,-,1,
,-,-,-,-,-,-,-,-,117.75,600,"26,450.00",900,"1,499.40","2,379.70","1,725",-,"1,683.45",-,-,-,1,
,"2,211",92,"1,589",9.97,50.55,-17.40,225,50.10,50.50,75,"26,500.00",75,"1,792.15","2,049.95","1,050",58.10,"1,810.00",16.76,9,9,12,
