CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,75,57.15,106.80,900,"25,100.00",900,671.75,737.55,900,-,-,-,-,-,-,
,-,-,-,-,-,-,900,36.55,102.75,900,"25,150.00",900,530.75,-,-,-,-,-,-,-,-,
,436,330,"1,089",10.04,49.65,-37.25,75,49.30,50.95,75,"25,200.00",825,749.50,872.60,900,-,546.30,-,-,-,1,
,-,-,-,-,-,-,"1,800",27.50,88.10,900,"25,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,75,32.65,81.40,900,"25,300.00",-,-,932.95,525,-,-,-,-,-,-,
,-,-,-,-,-,-,900,21.70,75.20,900,"25,350.00",-,-,"1,039.35",900,-,-,-,-,-,-,
,51,51,312,10.45,31.40,-429.75,750,30.00,31.50,75,"25,400.00",-,-,"1,028.40",525,-,-,-,-,-,-,
,45,15,88,10.48,27.20,-23.50,75,25.00,34.35,75,"25,450.00",-,-,"1,207.30",900,-,-,-,-,-,-,
,830,35,"2,162",10.61,24.50,-14.55,675,24.25,26.40,750,"25,500.00",-,-,"1,199.95",900,-,796.00,-,-,-,3,
,-,-,-,-,-,-,750,14.00,54.05,900,"25,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,600,16.50,49.55,900,"25,600.00",-,-,-,-,-,-,-,-,-,-,
,115,68,114,11.02,18.15,-12.05,75,18.15,20.00,75,"25,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,750,12.85,41.50,900,"25,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,750,10.00,37.95,"2,700","25,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,750,10.10,34.60,900,"25,800.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,750,7.50,31.60,"2,700","25,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,600,9.80,27.80,900,"25,900.00",-,-,-,-,-,-,-,-,-,-,
,1,-,-,-,166.55,-,750,9.50,23.50,"1,800","25,950.00",-,-,-,-,-,-,-,-,-,-,
,766,176,842,12.37,11.25,-3.15,150,10.50,11.25,525,"26,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",6.50,15.80,"1,800","26,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",5.50,12.40,900,"26,100.00",-,-,-,-,-,-,-,-,-,-,
,4,4,4,12.66,8.20,-202.05,750,5.50,12.20,900,"26,150.00",-,-,-,-,-,-,-,-,-,-,
,22,13,28,12.87,7.80,-0.90,"1,500",7.80,8.10,75,"26,200.00",-,-,-,-,-,-,-,-,-,-,
,41,-11,32,13.05,7.35,-1.85,750,6.35,12.00,600,"26,250.00",-,-,-,-,-,-,-,-,-,-,
,6,-3,5,13.31,7.20,-0.20,750,5.90,9.80,600,"26,300.00",-,-,-,-,-,-,-,-,-,-,
,17,9,22,13.24,6.00,0.30,225,6.00,10.00,600,"26,350.00",-,-,-,-,-,-,-,-,-,-,
,9,-,-,-,7.70,-,900,5.20,9.45,600,"26,400.00",-,-,-,-,-,-,-,-,-,-,
,19,10,10,14.18,7.10,-0.15,300,4.60,9.70,600,"26,450.00",-,-,-,-,-,-,-,-,-,-,
,115,28,82,13.64,4.70,-1.60,300,4.95,6.25,75,"26,500.00",-,-,-,-,-,-,-,-,-,-,
,12,-,-,-,5.50,-,600,3.90,8.90,600,"26,550.00",-,-,-,-,-,-,-,-,-,-,
,13,-2,16,14.44,5.30,-0.10,600,4.20,6.10,600,"26,600.00",-,-,-,-,-,-,-,-,-,-,
,9,1,1,14.76,5.40,-0.05,600,3.30,9.60,900,"26,650.00",-,-,-,-,-,-,-,-,-,-,
,12,1,1,14.93,5.10,0.05,300,3.65,6.45,600,"26,700.00",-,-,-,-,-,-,-,-,-,-,
,11,1,1,15.16,5.00,-0.15,300,3.55,5.80,75,"26,750.00",-,-,-,-,-,-,-,-,-,-,
,190,23,86,15.03,4.10,-0.25,600,3.60,4.75,75,"26,800.00",-,-,-,-,-,-,-,-,-,-,
