CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,522,-59,337,12.71,7.15,-3.05,300,7.20,8.15,"1,500","25,950.00","1,725","1,366.95","1,523.65",225,52.80,"1,457.00",-,1,1,40,
,"60,718",-68,"35,195",13.00,6.95,-2.35,675,6.95,7.00,"9,000","26,000.00",75,"1,558.35","1,571.50",75,256.65,"1,568.00",20.52,"1,184",-116,"18,379",
,452,-31,61,13.02,5.95,-3.10,300,6.00,7.50,75,"26,050.00",75,"1,590.20","1,622.30",225,54.80,"1,553.30",-,1,1,33,
,"3,134",-415,"3,469",13.34,5.90,-1.90,600,5.90,6.40,"1,050","26,100.00",75,"1,643.25","1,672.30",225,163.20,"1,598.20",-,5,1,500,
,211,-16,66,13.72,6.00,-1.40,300,4.95,6.60,"1,500","26,150.00","1,800","1,540.90","1,720.60",225,63.65,"1,658.45",11.98,3,2,51,
,"5,431",600,"3,045",13.79,5.30,-1.15,450,5.15,5.40,150,"26,200.00","1,200","1,640.45","1,770.90",225,160.30,"1,672.00",-,13,-6,281,
,393,3,63,13.86,4.65,-1.25,300,4.65,6.10,75,"26,250.00","1,725","1,628.90","1,820.20",225,120.30,"1,809.05",22.05,8,8,54,
,"4,679",-72,"2,899",14.39,5.15,-0.40,600,4.30,5.25,750,"26,300.00","1,800","1,728.25","1,869.95",225,70.00,"1,760.00",-,1,-,147,
,201,-18,77,14.20,4.00,-1.50,375,4.00,5.35,"1,500","26,350.00","1,725","1,721.35","1,918.90",225,-,"1,793.95",-,-,-,53,
,"2,504",-357,"1,398",14.75,4.50,-0.55,825,4.50,4.80,150,"26,400.00",150,"1,886.40","1,969.45",225,21.95,"1,865.00",-,6,-5,92,
,29,12,35,15.11,4.60,0.30,750,3.65,5.10,750,"26,450.00","1,725","1,869.55","2,223.70","1,725",-,"1,896.15",-,-,-,19,
,"15,839","-1,804","10,103",15.11,3.95,-0.35,"1,800",4.00,4.05,"1,500","26,500.00",75,"2,050.00","2,067.10",225,239.55,"2,055.00",23.94,82,18,"8,989",
,21,6,34,15.50,4.10,0.50,"1,500",2.55,5.90,600,"26,550.00","1,725","1,969.40","2,117.85",225,-,"1,996.55",-,-,-,19,
,"1,648",-144,456,15.30,3.20,-0.60,225,3.25,4.50,600,"26,600.00",150,"2,140.05","2,167.75",75,76.45,"2,124.70",20.52,5,-4,100,
,173,-19,30,16.09,4.05,-0.15,"1,500",2.65,4.50,600,"26,650.00","1,725","2,012.80","2,410.75","1,725",2.55,"1,977.15",-,-,-,23,
,"1,828",-775,"3,070",15.84,3.10,-0.10,750,3.15,3.60,450,"26,700.00","1,800","2,067.45","2,266.65",225,102.40,"2,247.50",24.83,9,3,269,
,455,-10,93,16.26,3.30,-0.15,"1,800",2.70,3.65,450,"26,750.00","1,725","2,154.80","2,510.10","1,725",-25.05,"2,014.80",-,-,-,11,
,"2,305",181,949,16.29,2.90,-0.40,75,3.45,3.95,"1,800","26,800.00","1,725","2,160.20","2,497.05","1,050",109.70,"2,353.70",26.50,9,7,36,
,17,-,3,16.48,2.75,-0.65,750,2.15,4.50,"1,800","26,850.00","1,725","2,263.35","2,573.60","1,725",-7.45,"2,157.30",-,-,-,9,
,292,153,517,17.46,3.80,1.10,"1,800",2.05,3.80,"1,575","26,900.00","1,800","2,350.95","2,484.75",75,113.60,"2,446.45",26.46,6,1,138,
,11,-,5,17.17,2.90,-,750,2.30,4.25,"1,800","26,950.00","1,725","2,340.00","2,658.95","1,725",-,"2,384.65",-,-,-,5,
,"15,386",188,"3,504",17.11,2.45,-0.15,825,2.50,2.85,600,"27,000.00",75,"2,547.55","2,563.20",75,274.70,"2,552.40",28.11,232,32,"9,514",
,243,-,16,17.59,2.70,-0.10,750,2.55,3.60,375,"27,050.00","1,725","2,456.65","2,795.35","1,725",2.45,"2,314.00",-,-,-,6,
,54,-10,37,17.95,2.80,0.05,75,2.50,3.20,"1,500","27,100.00","1,725","2,486.50","2,806.15","1,725",-23.05,"2,358.50",-,-,-,6,
,17,-,9,17.59,2.05,-0.70,"1,800",1.95,2.95,675,"27,150.00","1,725","2,535.50","2,880.45","1,725",-,"2,500.90",-,-,-,6,
,52,14,51,18.56,2.85,0.60,75,2.05,2.80,"1,050","27,200.00","1,725","2,589.05","2,959.70","1,725",-19.85,"2,457.30",-,-,-,17,
,40,-,-,-,2.05,-0.10,750,2.05,2.90,225,"27,250.00","1,725","2,629.45","2,983.75","1,725",-,"2,598.40",-,-,-,5,
,153,1,24,18.92,2.60,0.50,75,2.20,2.55,75,"27,300.00","1,725","2,582.55","3,069.45","1,725",-,"2,732.90",-,-,-,34,
,86,6,70,19.28,2.70,0.50,"1,350",2.00,2.85,300,"27,350.00","1,725","2,733.20","3,087.00","1,725",-14.50,"2,664.75",-,-,-,5,
,"6,596",405,"1,665",18.95,2.05,-0.25,"1,575",2.05,2.10,375,"27,400.00","1,725","2,698.85","3,148.45","1,725",-,"2,828.75",-,-,-,177,
