CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,77,77,163,9.72,312.75,-282.85,75,299.25,324.15,75,"24,500.00",375,312.05,327.40,75,-48.90,316.00,12.09,249,160,160,
,-,-,-,-,-,-,300,265.85,303.90,"1,050","24,550.00",300,324.35,373.25,900,-,-,-,-,-,-,
,-,-,-,-,-,-,75,245.60,281.40,750,"24,600.00","2,700",357.55,400.00,300,-,-,-,-,-,-,
,-,-,-,-,-,-,300,221.10,259.35,750,"24,650.00","2,700",374.00,427.40,300,-,-,-,-,-,-,
,-,-,-,-,-,-,300,200.25,241.70,900,"24,700.00",900,413.05,451.50,"2,700",-71.20,386.30,10.92,1,1,1,
,-,-,-,-,-,-,900,174.90,220.50,900,"24,750.00",900,428.60,571.55,900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,162.10,228.45,900,"24,800.00","1,800",464.20,590.55,900,-,-,-,-,-,-,
,-,-,-,-,-,-,300,141.35,231.65,900,"24,850.00",300,486.15,643.60,900,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,650",128.25,197.65,900,"24,900.00",300,537.50,735.25,900,-,-,-,-,-,-,
,-,-,-,-,-,-,900,109.50,210.45,900,"24,950.00",300,550.35,635.90,900,-,-,-,-,-,-,
,235,235,347,9.83,120.20,-234.35,225,115.00,121.95,150,"25,000.00",75,622.00,664.90,"2,700",3.85,624.95,12.76,59,26,26,
,-,-,-,-,-,-,900,84.85,170.55,"1,800","25,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,76.75,156.60,900,"25,100.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,65.60,150.45,900,"25,150.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,700",66.20,137.20,900,"25,200.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,50.05,133.55,900,"25,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,47.80,113.65,75,"25,300.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,36.50,103.50,900,"25,350.00",-,-,-,-,-,-,-,-,-,-,
,3,3,3,18.70,229.95,10.95,600,37.60,211.95,75,"25,400.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,31.55,221.95,900,"25,450.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,75,36.90,-,-,"25,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,800",24.45,159.10,900,"25,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,17.85,188.20,900,"25,600.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,750,15.00,-,-,"25,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,20.05,80.15,900,"25,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,11.05,149.85,900,"25,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,700",15.45,86.45,900,"25,800.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,750,14.00,99.80,900,"25,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,750,15.00,46.20,900,"25,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,750,15.00,42.65,900,"25,950.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,750,11.50,38.95,900,"26,000.00",-,-,-,-,-,-,-,-,-,-,
,1,1,1,17.91,90.00,2.15,75,20.35,41.80,900,"26,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",5.00,33.45,300,"26,100.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",5.00,30.75,600,"26,150.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,225,7.00,27.05,300,"26,200.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",2.50,25.55,300,"26,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",2.50,21.80,300,"26,300.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",2.50,18.30,600,"26,350.00",-,-,-,-,-,-,-,-,-,-,
